16071936,Festnummer zum Gauparteitag Leipzig 1933_Unseren Parteigenossen zum Gruß!,03
16071936,Festnummer zum Gauparteitag Leipzig 1933_Hitlers Mitstreiter: Gauleiter Mutschmann,06
06071936,Kreisleiter Dönicke_10 Jahre Führer der Partei in Leipzig,08
07071936,Die Verdienste Dönickes_Die Leipziger Bewegung feiert Ihren Kreisleiter,02
01051936,Redaktion,03
01051936,Nächtliche Bannerweihe im Küchwald_77 neue DAF-Fahnen wurden ihrer Bestimmung übergeben,05
01051936,Tausend Zentner Grünschmuck für den 1. Mai_Auch Chemnitz trifft umfangreiche Vorbereitungen für den nationalen Feiertag des deutschen Volkes,05
01051936,Ehrenbuch für die städtische Gefolgschaft_Eine vorbildliche Verfügung des Oberbürgermeisters der Stadt Chemnitz,06
01051936,"Alle Schaffenden Sachsens gehören in die DAF_Ein Aufruf von Pg. Mutschmann, Pg. Lenk und Pg. Peitsch",11
01051936,Gegen Verspottung sächsischen Dialekts,11
01051936,"Eine Pflegestätte deutschen Jägergeistes_Der ""Sächsische Jägerhof"" von Pg. Göring geweiht, durch Pg. Mutschmann der Jägerschaft übergeben",11
01051936,Wieder weniger Wohlfahrtserwerbslose,11
01051936,Kleiner Sachsenspiegel,11
22061936,175000 Sachsen zum Appell angetreten_Die gewaltige Heerschau der Nationalsozilistischen Bewegung_Der Gauleiter in allen Aufmarschorten_Ueberall ging die Bevölkerung begeistert mit,01
22061936,Unser Kampf gilt allein der Zukunft_Die Rede des Gauleiters vor dem Leipziger Völkerschlachtsdenkmal,01
22061936,Der Gauappell in Leipzig,09
22061936,32000 marschierten in Dresden_Reichsstatthalter Pg. Röver sprach zu den massen,09
22061936,Pg. Mutschmann eröffnet den Gauappell_Der Gauleiter bei der Sonnwendfeier auf dem Tenneraberg in Plauen,09
22061936,Der feierliche Ausklang in Zittau_Reichsorganisationsleiter Pg. Dr. Ley vor der Jugend,09
02011936,Rassenschänder festgenommen,04
02011936,Kleiner Sachsenspiegel_Vereinigung von Gemeinden.,04
02011936,Kleiner Sachsenspiegel_Löbau_Wechsel in der Amtshauptmannschaft,04
02011936,Mit Marschmusik ins neue Jahr_Zapfenstreich des Arbeitsdienstes - Am Morgen Wecken durch die Wehrmacht,05
02011936,"Zwischen Karpfen und Rollmops_Die Berichterstatter des ""Freiheitskampfes"" mitten im Trubel der Silvesternacht",06
